Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,You want to use ONLY 1 lunch meal swipe. The total cost of the items in your cart should not exceed...,MC,,$6.85 ,,$11.25 ,,$11.35 ,,$13.25 ,,,,,,,,,,,,,,,,,,,,,,,,3
2,"On Tuesdays, the Carmichael Dining Center is open for a total of how many hours?",MC,,13,,14,,16,,17,,,,,,,,,,,,,,,,,,,,,,,,1
3,"You want to stuff yourself with as much food as possible between 5-8pm, during which you are allowed to use up to __ swipes.",MC,,0,,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,3
4,"Sarah, new on campus, loves Burrito Bowls from Chipotle. Where would you recommend she go to get something similar?",MC,,Commons,,Hotung,,Hodgedon,,Mugar,,,,,,,,,,,,,,,,,,,,,,,,3
5,In which of the following locations are you allowed to use two meal swipes in one order?,MC,,Carm2,,Dewick2,,Kindlevan,,Commons,,,,,,,,,,,,,,,,,,,,,,,,4
6,You're out of meal swipes and are feeling especially narcissistic. Where can you easily steal someone else's order?,MC,,Hotung,,Pax et Lox,,Kindlevan,,Mugar,,,,,,,,,,,,,,,,,,,,,,,,4
7,"Assuming normal operating hours, at which of the following times is ONLY one dining location open on campus?",MC,,Mondays at 11pm,,Wednesdays at 77pm,,Saturdays at 8am,,Sundays at 8am,,,,,,,,,,,,,,,,,,,,,,,,4
8,All of the following are sushi options served at Tufts EXCEPT...,MC,,the California Roll,,the Jumbo Roll,,the Vegetable Roll,,the Sweet & Sour California Roll,,,,,,,,,,,,,,,,,,,,,,,,4
9,"You really wanted to try out Dewick2's Pop-Up Dinner, but it's closed on the day you checked. Assuming normal operating hours, when would it be open?",MC,,Mondays-Fridays 4pm-8pm,,Tuesdays-Wednesdays 4:30pm-6:30pm,,Tuesdays-Thursdays 4pm-6:30pm,,It is inconsistent from week to week,,,,,,,,,,,,,,,,,,,,,,,,3
10,You order from Pax et Lox to find that the food sucks. Which of the following alternatives is closest in proximity?,MC,,Hodgedon,,Mugar,,Kindlevan,,SMFA Cafe,,,,,,,,,,,,,,,,,,,,,,,,1
11,You got Late Night exactly 90% of the way through the meal period. What time did you get your food?,MC,,12:00 AM,,12:10 AM,,12:15 AM,,12:20 AM,,,,,,,,,,,,,,,,,,,,,,,,3
12,You decided to order from SMFA Cafe. How would you get there to pick up your food?,MC,,Go inside Granoff Music Center,,Go inside Tisch Library,,Go inside Mayer Campus Center,,Take a 45 minute shuttle to Boston,,,,,,,,,,,,,,,,,,,,,,,,4
13,The second floor of the Mayer Campus Center contains what cafe?,MC,,Tower Cafe,,Kindlevan Cafe,,Hotung Cafe,,The Sink,,,,,,,,,,,,,,,,,,,,,,,,4
14,"You took advantage of all ""specials"" served on the week of Halloween, which included all of the following EXCEPT...",MC,,fried oreos,,Halloween cupcakes,,Whoopie pies,,Frozen Yogurt,,,,,,,,,,,,,,,,,,,,,,,,3
15,You decide to order from Commons. Which of the following would you expect to see on the menu? Select all that apply.,Checkboxes,,Pan Asia Bowl,,Mozzarella Sticks,,Tex Mex Burger,,None of these,,,,,,,,,,,,,,,,,,,,,,,,"2,3"
16,At which of the following times would you expect Hodgedon to be open? Select all that apply.,Checkboxes,,Fridays at 8PM,,Saturdays at 6PM,,Sundays at 8AM,,None of these,,,,,,,,,,,,,,,,,,,,,,,,4
17,You've been dying to try out breakfast food from Commons. When would you expect it to be open for breakfast?,MC,,Weekdays 8am-10:30am,,Weekdays 9am-11am,,Weekends 10am-11am,,Every Day 10am-11am,,,,,,,,,,,,,,,,,,,,,,,,3
18,"After weeks of waiting, you finally see the Jumbo Dinner Bowl on the menu again. What did it consist of again?",MC,,"Popcorn Chicken, Mashed Potatoes, Gravy, and Corn",,"Lo Mein Noodles, Beef, Vegetables, and Teriyaki Sauce",,"Rice, Deep Fried Shrimp, Seaweed, Ginger, and Wasabi",,"Turkey, Mashed Potatoes, Stuffing, and Cranberry Sauce",,,,,,,,,,,,,,,,,,,,,,,,1
19,"Assuming you are following all COVID procedures and you are using the College Ave first floor entrance to the Science & Engineering Complex (SEC), which of the following paths is longer (in distance)?",MC,,The shortest path from the SEC entrance to Kindlevan Cafe,,The shortest path from Kindlevan Cafe to the SEC entrance,,Both paths are equally as long,,,,,,,,,,,,,,,,,,,,,,,,,,2
20,"After two weeks of isolation, you finally recovered from COVID-19. Where is the nearest place to get food in person?",MC,,Carmichael,,Hodgedon,,Mugar Cafe,,Tower Cafe,,,,,,,,,,,,,,,,,,,,,,,,3
